"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","SchoolYear","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"1","01M015","P.S. 015 ROBERTO CLEMENTE",2015,58,278,"58.6","29.3","10.3","1.7","12.1","2015","P.S. 015 Roberto Clemente",183,1,"P.S. 015 Roberto Clemente",0,1,1,1,0,"2C","1-250","0.36","0.76","1.17","0.64","0.37","MANHATTAN",10009,40.721807,-73.979022,3,2,2601,1004415,1003740020,"Lower East Side",NA,NA,NA,NA,3
"2","01M019","P.S. 019 ASHER LEVY",2015,90,318,"14.4","32.2","31.1","22.2","53.3","2015","P.S. 019 Asher Levy",270,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",0,3,2,1,2,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,"East Village","3C","251-500",1006478,1004530034,8
"3","01M020","P.S. 020 ANNA SILVER",2015,243,293,"41.2","23.9","20.6","14.4","35","2015","P.S. 020 Anna Silver",633,1,"P.S. 020 Anna Silver",1,1,3,1,1,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10002,40.72154,-73.986648,3,1,3001,1004325,1003550001,"Chinatown",NA,NA,NA,NA,7
"4","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",2015,254,295,"38.2","38.2","17.7","5.9","23.6","2015","P.S. 034 Franklin D. Roosevelt",395,1,"P.S. 034 Franklin D. Roosevelt",0,3,1,1,2,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10009,40.726473,-73.975181,3,2,28,1004564,1003810038,"Lower East Side",NA,NA,NA,NA,7
"5","01M063","THE STAR ACADEMY - P.S.63",2015,50,300,"30","38","24","8","32","2015","The STAR Academy - P.S.63",199,2,"The STAR Academy - P.S.63 |  Neighborhood School |  121 EAST  3 STREET CONSOLIDATED LOCATION",0,0,0,0,0,"2C","1-250","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10009,40.724117,-73.986381,3,2,32,1005760,1004310014,"East Village","4C","501-750",1005760,1004310014,0
"6","01M064","P.S. 064 ROBERT SIMON",2015,119,296,"34.5","39.5","17.6","8.4","26.1","2015","P.S. 064 Robert Simon",282,3,"P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION",0,1,0,1,0,"3C","251-500","0.46","1.65","2.77","1.17","0.75","MANHATTAN",10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,"Lower East Side","5C","751-1000",1004627,1003870001,2
"7","01M110","P.S. 110 FLORENCE NIGHTINGALE",2015,167,325,"15","22.2","24","38.9","62.9","2015","P.S. 110 Florence Nightingale",419,1,"P.S. 110 Florence Nightingale",0,1,0,1,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10002,40.715915,-73.979893,3,1,12,1004066,1003310140,"Lower East Side",NA,NA,NA,NA,2
"8","01M134","P.S. 134 HENRIETTA SZOLD",2015,118,303,"30.5","30.5","24.6","14.4","39","2015","P.S. 134 Henrietta Szold",255,2,"P.S. 134 Henrietta Szold |  P.S. 137 John L. Bernstein |  293 EAST BROADWAY CONSOLIDATED LOCATION",0,3,1,3,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,"Lower East Side","3C","251-500",1003736,1002880015,7
"9","01M137","P.S. 137 JOHN L. BERNSTEIN",2015,85,282,"62.4","21.2","12.9","3.5","16.5","2015","P.S. 137 John L. Bernstein",186,2,"P.S. 134 Henrietta Szold |  P.S. 137 John L. Bernstein |  293 EAST BROADWAY CONSOLIDATED LOCATION",0,3,1,3,0,"2C","1-250","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,"Lower East Side","3C","251-500",1003736,1002880015,7
"10","01M140","P.S. 140 NATHAN STRAUS",2015,243,288,"42.4","43.2","11.9","2.5","14.4","2015","P.S. 140 Nathan Straus",380,1,"P.S. 140 Nathan Straus",0,0,1,0,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10002,40.71925,-73.983056,3,1,2201,1004091,1003440001,"Lower East Side",NA,NA,NA,NA,1
"11","01M142","P.S. 142 AMALIA CASTRO",2015,165,285,"47.3","32.1","17","3.6","20.6","2015","P.S. 142 Amalia Castro",386,1,"P.S. 142 Amalia Castro",1,0,4,0,1,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10002,40.718383,-73.984452,3,1,1402,1004080,1003430001,"Lower East Side",NA,NA,NA,NA,6
"12","01M184","P.S. 184M SHUANG WEN",2015,365,344,"3.3","10.4","33.4","52.9","86.3","2015","P.S. 184m Shuang Wen",665,1,"P.S. 184m Shuang Wen",1,2,0,3,0,"4C","501-750","0.31","1.12","1.82","0.79","0.51","MANHATTAN",10002,40.711549,-73.986542,3,1,201,1003143,1002450007,"Lower East Side",NA,NA,NA,NA,6
"13","01M188","P.S. 188 THE ISLAND SCHOOL",2015,306,290,"40.8","40.5","15.4","3.3","18.6","2015","P.S. 188 The Island School",482,1,"P.S. 188 The Island School",3,4,7,1,6,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10002,40.719598,-73.977904,3,2,20,1004349,1003560100,"Lower East Side",NA,NA,NA,NA,21
"14","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2015,37,257,"83.8","13.5","2.7","0","2.7","2015","Henry Street School for International Studies",255,4,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",0,8,3,4,4,"3C","251-500","0.89","3.22","5.07","2.18","1.64","MANHATTAN",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,"Lower East Side","7C","1251-1500",1003223,1002690041,19
"15","01M301","TECHNOLOGY, ARTS, AND SCIENCES STUDIO",2015,136,273,"70.6","24.3","4.4","0.7","5.1","2015","Technology, Arts, and Sciences Studio",149,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",0,3,2,1,2,"2C","1-250","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,"East Village","3C","251-500",1006478,1004530034,8
"16","01M315","THE EAST VILLAGE COMMUNITY SCHOOL",2015,78,323,"14.1","20.5","34.6","30.8","65.4","2015","The East Village Community School",289,2,"The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION",0,1,0,1,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10009,40.727892,-73.978525,3,2,28,1079053,1003940012,"Lower East Side","3C","251-500",1079053,1003940012,2
"17","01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",2015,82,277,"61","25.6","9.8","3.7","13.4","2015","University Neighborhood Middle School",86,4,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",0,8,3,4,4,"2C","1-250","0.89","3.22","5.07","2.18","1.64","MANHATTAN",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,"Lower East Side","7C","1251-1500",1003223,1002690041,19
"18","01M345","COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",2015,115,284,"53","31.3","9.6","6.1","15.7","2015","Collaborative Academy of Science, Technology, & La",132,4,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",0,8,3,4,4,"2C","1-250","0.89","3.22","5.07","2.18","1.64","MANHATTAN",10002,40.713684,-73.986336,3,1,201,1003223,1002690041,"Lower East Side","7C","1251-1500",1003223,1002690041,19
"19","01M361","THE CHILDREN'S WORKSHOP SCHOOL",2015,89,314,"20.2","25.8","32.6","21.3","53.9","2015","The Children's Workshop School",255,2,"The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION",0,1,0,1,0,"3C","251-500","0.27","1.11","1.38","0.8","0.48","MANHATTAN",10009,40.727892,-73.978525,3,2,28,1079053,1003940012,"Lower East Side","3C","251-500",1079053,1003940012,2
