"","DBN","School Name","Year","NumTested","MeanScaleScore","Level1p","Level2p","Level3p","Level4p","Level34p","LocationName","NumStudents","NumSchools","SchoolsInBuilding","MajorN","OthN","NoCrimN","PropN","VioN","GroupNameOfPop","BuildingPop","AvgMajor","AvgOth","AvgNoCrim","AvgPop","AvgVio","BoroughName","Postcode","Latitude","Longitude","CommunityBoard","CouncilDistrict","Census Tract.x","BIN.x","BBL.x","NTA","GroupNameofPop.y","BuildingPopulation.y","BIN.y","BBL.y","totCrime"
"1","01M015","P.S. 015 ROBERTO CLEMENTE",2014,63,278,"50.8","39.7","6.3","3.2","9.5","P.S. 015 Roberto Clemente",190,1,"P.S. 015 Roberto Clemente",2,1,1,2,1,"2C","1-250","0.43","1.03","1.23","0.99","0.41","MANHATTAN",10009,40.721807,-73.979022,3,2,2601,1004415,1003740020,"Lower East Side",NA,NA,NA,NA,7
"2","01M019","P.S. 019 ASHER LEVY",2014,104,308,"26","31.7","26.9","15.4","42.3","P.S. 019 Asher Levy",285,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",1,3,1,1,1,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,"East Village","3C","251-500",1006478,1004530034,7
"3","01M020","P.S. 020 ANNA SILVER",2014,233,298,"36.9","28.8","21.5","12.9","34.3","P.S. 020 Anna Silver",631,1,"P.S. 020 Anna Silver",0,2,2,2,0,"4C","501-750","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.72154,-73.986648,3,1,3001,1004325,1003550001,"Chinatown",NA,NA,NA,NA,6
"4","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",2014,264,298,"33.7","38.6","21.6","6.1","27.7","P.S. 034 Franklin D. Roosevelt",393,1,"P.S. 034 Franklin D. Roosevelt",0,0,1,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10009,40.726473,-73.975181,3,2,28,1004564,1003810038,"Lower East Side",NA,NA,NA,NA,1
"5","01M063","THE STAR ACADEMY - P.S.63",2014,53,301,"26.4","41.5","20.8","11.3","32.1","The STAR Academy - P.S.63",179,2,"The STAR Academy - P.S.63 |  Neighborhood School |  121 EAST  3 STREET CONSOLIDATED LOCATION",0,0,2,0,0,"2C","1-250","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10009,40.724117,-73.986381,3,2,32,1005760,1004310014,"East Village","3C","251-500",1005760,1004310014,2
"6","01M064","P.S. 064 ROBERT SIMON",2014,113,294,"34.5","43.4","19.5","2.7","22.1","P.S. 064 Robert Simon",287,3,"P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION",1,3,0,4,0,"3C","251-500","0.52","1.71","2.49","1.16","0.75","MANHATTAN",10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,"Lower East Side","5C","751-1000",1004627,1003870001,8
"7","01M110","P.S. 110 FLORENCE NIGHTINGALE",2014,167,321,"16.8","22.8","27.5","32.9","60.5","P.S. 110 Florence Nightingale",416,1,"P.S. 110 Florence Nightingale",0,0,0,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10002,40.715915,-73.979893,3,1,12,1004066,1003310140,"Lower East Side",NA,NA,NA,NA,0
"8","01M134","P.S. 134 HENRIETTA SZOLD",2014,138,303,"23.2","43.5","23.9","9.4","33.3","P.S. 134 Henrietta Szold",318,2,"P.S. 134 Henrietta Szold |  P.S. 137 John L. Bernstein |  293 EAST BROADWAY CONSOLIDATED LOCATION",0,5,3,4,1,"3C","251-500","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,"Lower East Side","4C","501-750",1003736,1002880015,13
"9","01M137","P.S. 137 JOHN L. BERNSTEIN",2014,85,271,"63.5","27.1","7.1","2.4","9.4","P.S. 137 John L. Bernstein",202,2,"P.S. 134 Henrietta Szold |  P.S. 137 John L. Bernstein |  293 EAST BROADWAY CONSOLIDATED LOCATION",0,5,3,4,1,"2C","1-250","0.33","1.32","1.76","0.83","0.59","MANHATTAN",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,"Lower East Side","4C","501-750",1003736,1002880015,13
"10","01M140","P.S. 140 NATHAN STRAUS",2014,257,285,"51","33.1","14","1.9","16","P.S. 140 Nathan Straus",393,1,"P.S. 140 Nathan Straus",0,0,1,0,0,"3C","251-500","0.35","1.06","1.09","0.73","0.5","MANHATTAN",10002,40.71925,-73.983056,3,1,2201,1004091,1003440001,"Lower East Side",NA,NA,NA,NA,1
